Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
A,,0,0,2,2,2,0,0,0,1,2,3,0,E,A,E,A,Db,E,5,1,5,1,3,5,0-0-2-2-2-0,0-0-1-2-3-0,E A E A Db E,1 3 5 ,
A,,0,0,2,2,2,0,0,0,2,1,3,0,E,A,E,A,Db,E,5,1,5,1,3,5,0-0-2-2-2-0,0-0-2-1-3-0,E A E A Db E,1 3 5 ,
A,,5,7,7,6,5,5,1,3,4,2,1,1,A,E,A,Db,E,A,1,5,1,3,5,1,5-7-7-6-5-5,1-3-4-2-1-1,A E A Db E A,1 3 5 ,
A,,x,12,11,9,10,x,x,4,3,1,2,x,,A,Db,E,A,,,1,3,5,1,,x-12-11-9-10-x,x-4-3-1-2-x,A Db E A,1 3 5 ,
A,,x,12,14,14,14,x,x,1,3,3,3,x,,A,E,A,Db,,,1,5,1,3,,x-12-14-14-14-x,x-1-3-3-3-x,A E A Db,1 3 5 ,
A,,x,x,7,9,10,9,x,x,1,2,4,3,,,A,E,A,Db,,,1,5,1,3,x-x-7-9-10-9,x-x-1-2-4-3,A E A Db,1 3 5 ,
A+,+,5,x,7,6,6,x,1,x,4,2,3,x,A,,A,Db,F,,1,,1,3,b6,,5-x-7-6-6-x,1-x-4-2-3-x,A A Db F,1 3 b6 ,
A+,+,x,0,3,2,2,1,x,0,4,2,3,1,,A,F,A,Db,F,,1,b6,1,3,b6,x-0-3-2-2-1,x-0-4-2-3-1,A F A Db F,1 3 b6 ,
A+,+,x,0,3,2,2,1,x,0,4,2,3,1,,A,F,A,Db,F,,1,b6,1,3,b6,x-0-3-2-2-1,x-0-4-2-3-1,A F A Db F,1 3 b6 ,
A+,+,x,12,11,10,10,x,x,3,2,1,1,x,,A,Db,F,A,,,1,3,b6,1,,x-12-11-10-10-x,x-3-2-1-1-x,A Db F A,1 3 b6 ,
A+,+,x,x,11,10,10,13,x,x,2,1,1,4,,,Db,F,A,F,,,3,b6,1,b6,x-x-11-10-10-13,x-x-2-1-1-4,Db F A F,1 3 b6 ,
A+,+,x,x,11,10,10,9,x,x,4,2,3,1,,,Db,F,A,Db,,,3,b6,1,3,x-x-11-10-10-9,x-x-4-2-3-1,Db F A Db,1 3 b6 ,
A+7,7,5,x,5,6,6,x,1,x,2,3,4,x,A,,G,Db,F,,1,,b7,3,b6,,5-x-5-6-6-x,1-x-2-3-4-x,A G Db F,1 3 b6 b7 ,
A+7,7,x,0,3,0,2,1,x,0,3,0,2,1,,A,F,G,Db,F,,1,b6,b7,3,b6,x-0-3-0-2-1,x-0-3-0-2-1,A F G Db F,1 3 b6 b7 ,
A+7,7,x,10,11,10,10,x,x,1,2,1,1,x,,G,Db,F,A,,,b7,3,b6,1,,x-10-11-10-10-x,x-1-2-1-1-x,G Db F A,1 3 b6 b7 ,
A+7,7,x,12,15,12,14,x,x,1,4,1,3,x,,A,F,G,Db,,,1,b6,b7,3,,x-12-15-12-14-x,x-1-4-1-3-x,A F G Db,1 3 b6 b7 ,
A+7,7,x,x,7,10,8,9,x,x,1,4,2,3,,,A,F,G,Db,,,1,b6,b7,3,x-x-7-10-8-9,x-x-1-4-2-3,A F G Db,1 3 b6 b7 ,
A+7#9,+7#9,9,x,x,10,8,8,2,x,x,3,1,1,Db,,,F,G,C,3,,,b6,b7,b3,9-x-x-10-8-8,2-x-x-3-1-1,Db F G C,b3 3 b6 b7 ,
A+7#9,+7#9,x,3,3,2,2,3,x,2,3,1,1,4,,C,F,A,Db,G,,b3,b6,1,3,b7,x-3-3-2-2-3,x-2-3-1-1-4,C F A Db G,1 b3 3 b6 b7 ,
A+7#9,+7#9,x,12,11,12,13,13,x,2,1,3,4,4,,A,Db,G,C,F,,1,3,b7,b3,b6,x-12-11-12-13-13,x-2-1-3-4-4,A Db G C F,1 b3 3 b6 b7 ,
A+7#9,+7#9,x,x,5,6,6,8,x,x,1,2,3,4,,,G,Db,F,C,,,b7,3,b6,b3,x-x-5-6-6-8,x-x-1-2-3-4,G Db F C,b3 3 b6 b7 ,
A+7#9,+7#9,x,x,10,10,8,9,x,x,3,4,1,2,,,C,F,G,Db,,,b3,b6,b7,3,x-x-10-10-8-9,x-x-3-4-1-2,C F G Db,b3 3 b6 b7 ,
A+7b9,+7b9,5,4,3,3,6,3,3,2,1,1,4,1,A,Db,F,Bb,F,G,1,3,b6,b2,b6,b7,5-4-3-3-6-3,3-2-1-1-4-1,A Db F Bb F G,1 b2 3 b6 b7 ,
A+7b9,+7b9,x,0,3,3,2,3,x,0,2,3,1,4,,A,F,Bb,Db,G,,1,b6,b2,3,b7,x-0-3-3-2-3,x-0-2-3-1-4,A F Bb Db G,1 b2 3 b6 b7 ,
A+7b9,+7b9,x,10,11,10,11,x,x,1,2,1,3,x,,G,Db,F,Bb,,,b7,3,b6,b2,,x-10-11-10-11-x,x-1-2-1-3-x,G Db F Bb,b2 3 b6 b7 ,
A+7b9,+7b9,x,12,11,12,11,13,x,2,1,3,1,4,,A,Db,G,Bb,F,,1,3,b7,b2,b6,x-12-11-12-11-13,x-2-1-3-1-4,A Db G Bb F,1 b2 3 b6 b7 ,
A+7b9,+7b9,x,x,8,10,8,9,x,x,1,3,1,2,,,Bb,F,G,Db,,,b2,b6,b7,3,x-x-8-10-8-9,x-x-1-3-1-2,Bb F G Db,b2 3 b6 b7 ,
A+9,9,x,2,3,2,2,3,x,1,2,1,1,3,,B,F,A,Db,G,,2,b6,1,3,b7,x-2-3-2-2-3,x-1-2-1-1-3,B F A Db G,1 2 3 b6 b7 ,
A+9,9,x,10,11,10,12,x,x,1,2,1,4,x,,G,Db,F,B,,,b7,3,b6,2,,x-10-11-10-12-x,x-1-2-1-4-x,G Db F B,2 3 b6 b7 ,
A+9,9,x,12,11,12,12,13,x,2,1,3,3,4,,A,Db,G,B,F,,1,3,b7,2,b6,x-12-11-12-12-13,x-2-1-3-3-4,A Db G B F,1 2 3 b6 b7 ,
A+9,9,x,x,5,6,6,7,x,x,1,2,2,3,,,G,Db,F,B,,,b7,3,b6,2,x-x-5-6-6-7,x-x-1-2-2-3,G Db F B,2 3 b6 b7 ,
A+9,9,x,x,9,10,8,9,x,x,2,4,1,3,,,B,F,G,Db,,,2,b6,b7,3,x-x-9-10-8-9,x-x-2-4-1-3,B F G Db,2 3 b6 b7 ,
A11,11,5,5,5,6,5,7,1,1,1,2,1,3,A,D,G,Db,E,B,1,4,b7,3,5,2,5-5-5-6-5-7,1-1-1-2-1-3,A D G Db E B,1 2 3 4 5 b7 ,
A11,11,12,12,12,12,12,9,4,4,4,4,4,1,E,A,D,G,B,Db,5,1,4,b7,2,3,12-12-12-12-12-9,4-4-4-4-4-1,E A D G B Db,1 2 3 4 5 b7 ,
A11,11,x,0,0,0,2,0,x,0,0,0,1,0,,A,D,G,Db,E,,1,4,b7,3,5,x-0-0-0-2-0,x-0-0-0-1-0,A D G Db E,1 3 4 5 b7 ,
A11,11,x,12,11,12,10,10,x,3,2,4,1,1,,A,Db,G,A,D,,1,3,b7,1,4,x-12-11-12-10-10,x-3-2-4-1-1,A Db G A D,1 3 4 b7 ,
A11,11,x,12,12,12,14,12,x,1,1,1,3,1,,A,D,G,Db,E,,1,4,b7,3,5,x-12-12-12-14-12,x-1-1-1-3-1,A D G Db E,1 3 4 5 b7 ,
A11,11,x,x,7,7,8,9,x,x,1,1,2,3,,,A,D,G,Db,,,1,4,b7,3,x-x-7-7-8-9,x-x-1-1-2-3,A D G Db,1 3 4 b7 ,
A13,13,3,2,2,2,2,2,2,1,1,1,1,1,G,B,E,A,Db,Gb,b7,2,5,1,3,6,3-2-2-2-2-2,2-1-1-1-1-1,G B E A Db Gb,1 2 3 5 6 b7 ,
